wind_speed_mps,power_kw
0.0,0.0
1.0,0.0
2.0,0.0
3.0,2.505
4.0,39.245
5.0,107.715
6.0,211.255
7.0,354.04
8.0,543.585
9.0,787.405
10.0,1063.79
11.0,1342.68
12.0,1558.11
13.0,1652.465
14.0,1670.0
15.0,1670.0
16.0,1670.0
17.0,1670.0
18.0,1648.29
19.0,1596.52
20.0,1547.255
21.0,1498.825
22.0,1449.56
23.0,1400.295
24.0,1351.865
25.0,1302.6
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
